city,ft,bt,km,transmission,ownerNo,oem,model,modelYear,variantName,price,Registration Year,Insurance Validity,Seats,Engine Displacement
Kolkata,Diesel,SUV,68042,Automatic,1,Mahindra,Mahindra XUV500,2018,AT W10 FWD,999000,2018,Comprehensive,7,2179
Kolkata,Petrol,Hatchback,65000,Manual,2,Hyundai,Hyundai i10,2014,Sportz,229999,2014,Comprehensive,5,1197
Kolkata,Petrol,Hatchback,24000,Manual,1,Maruti,Maruti Swift,2020,VXI Optional,549000,2020,Comprehensive,5,1197
Kolkata,Diesel,Sedan,82948,Manual,1,Maruti,Maruti Ciaz,2016,ZDi SHVS,520000,2016,Comprehensive,5,1248
Kolkata,Petrol,Hatchback,23162,Manual,2,Maruti,Maruti Zen Estilo,2010,VXI BSIV,141000,2010,Comprehensive,5,998
Kolkata,Petrol,Hatchback,45000,Manual,1,Maruti,Maruti Ritz,2010,VXi,129000,2010,Comprehensive,5,1197
Kolkata,Petrol,SUV,7281,Manual,2,Honda,Honda WR-V,2020,i-VTEC S,641000,2020,Comprehensive,5,1199
Kolkata,Petrol,Hatchback,29428,Manual,1,Hyundai,Hyundai i20 Active,2016,1.2 S,466000,2016,Third Party,5,1197
Kolkata,Petrol,SUV,64000,Manual,1,Hyundai,Hyundai Creta,2018,1.6 SX Option,844999,2018,Comprehensive,5,1591
Kolkata,Petrol,Hatchback,62202,Manual,1,Maruti,Maruti Alto 800,2016,LXI,215000,2016,Comprehensive,5,796
Kolkata,Petrol,Sedan,47000,Manual,1,Honda,Honda City,2018,i-VTEC VX,725000,2018,Third Party,5,1497
Kolkata,Cng,Sedan,13145,Manual,1,Tata,Tata Tigor,2022,XZ Plus CNG BSVI,772000,2022,Comprehensive,5,1199
Kolkata,Petrol,Hatchback,119490,Manual,1,Hyundai,Hyundai EON,2017,Sportz,254999,2017,Third Party,5,814
Kolkata,Diesel,SUV,8000,Manual,1,Mahindra,Mahindra XUV500,2021,W11 Option,1673999,2021,Comprehensive,7,2179
Kolkata,Diesel,Sedan,45000,Manual,1,Honda,Honda City,2015,i DTEC VX,525000,2015,Third Party,5,1498
Kolkata,Petrol,Hatchback,46422,Manual,1,Maruti,Maruti Wagon R Stingray,2016,VXI,295000,2016,Comprehensive,5,998
Kolkata,Petrol,Hatchback,64000,Manual,3,Hyundai,Hyundai i10,2014,Sportz,235000,2014,Comprehensive,5,1197
Kolkata,Diesel,Sedan,52000,Manual,1,Volkswagen,Volkswagen Ameo,2020,1.5 TDI Comfortline,495000,2020,Comprehensive,5,1498
Kolkata,Petrol,Sedan,25000,Manual,1,Honda,Honda City,2019,V MT,685000,2019,Comprehensive,5,1497
Kolkata,Petrol,Hatchback,15000,Manual,2,Hyundai,Hyundai EON,2013,Era Plus,186000,2013,Third Party,5,814
Kolkata,Petrol,SUV,45000,Manual,1,Kia,Kia Seltos,2020,GTX Plus,1265000,2020,Comprehensive,5,1353
Kolkata,Petrol,SUV,65000,Automatic,1,Hyundai,Hyundai Creta,2018,1.6 SX Automatic,894999,2018,Comprehensive,5,1591
Kolkata,Diesel,SUV,65000,Manual,1,Jeep,Jeep Compass,2018,2.0 Limited,950000,2018,Third Party,5,1956
Kolkata,Petrol,Sedan,21628,Manual,1,Honda,Honda City,2019,i-VTEC V,727000,2019,Comprehensive,5,1497
Kolkata,Petrol,Hatchback,8347,Manual,1,Maruti,Maruti Swift,2016,VXI,426999,2016,Third Party,5,1197
Kolkata,Diesel,SUV,72057,Manual,2,Mahindra,Mahindra Scorpio,2016,S10 7 Seater,875000,2016,Comprehensive,7,2179
Kolkata,Petrol,Hatchback,52549,Manual,1,Hyundai,Hyundai Grand i10,2017,1.2 Kappa Magna BSIV,349000,2017,Third Party,5,1197
Kolkata,Petrol,Sedan,44540,Automatic,2,Honda,Honda City,2014,i VTEC CVT VX,450000,2014,Third Party,5,1497
Kolkata,Petrol,Hatchback,44000,Manual,2,Maruti,Maruti Swift,2014,LXI,320000,2014,Comprehensive,5,1197
Kolkata,Diesel,Hatchback,53084,Manual,1,Hyundai,Hyundai Grand i10 Nios,2019,Asta CRDi,646000,2019,Third Party,5,1186
Kolkata,Petrol,MUV,10000,Manual,2,Maruti,Maruti XL6,2021,Alpha,950000,2021,Third Party,6,1462
Kolkata,Petrol,Sedan,34339,Automatic,2,Toyota,Toyota Corolla Altis,2018,1.8 VL CVT,1124000,2018,Comprehensive,5,1798
Kolkata,Petrol,SUV,15456,Manual,1,Kia,Kia Seltos,2020,HTK Plus G,1057000,2020,Third Party,5,1497
Kolkata,Petrol,MUV,10000,Manual,2,Maruti,Maruti XL6,2021,Alpha,950000,2021,Third Party,6,1462
Kolkata,Petrol,Hatchback,68000,Manual,1,Hyundai,Hyundai Santro,2018,Sportz BSIV,385000,2018,Comprehensive,5,1086
Kolkata,Petrol,SUV,10000,Manual,1,Maruti,Maruti SX4 S Cross,2021,Delta,875000,2021,Third Party,5,1462
Kolkata,Diesel,SUV,100000,Manual,1,Mahindra,Mahindra TUV 300,2017,mHAWK100 T8,520000,2017,Third Party,7,1493
Kolkata,Diesel,SUV,59639,Manual,1,Mahindra,Mahindra TUV 300,2019,T10,675000,2019,Comprehensive,7,1493
Kolkata,Petrol,Hatchback,50000,Manual,1,Maruti,Maruti Celerio,2017,ZXI,360000,2017,Third Party,5,998
Kolkata,Petrol,Sedan,37000,Automatic,1,Audi,Audi A6,2016,35 TFSI,1795000,2016,Comprehensive,5,1798
Kolkata,Petrol,Sedan,60000,Manual,2,Renault,Renault Scala,2013,RxL,235000,2013,Third Party,5,1498
Kolkata,Petrol,Hatchback,8000,Manual,1,Hyundai,Hyundai i20 N Line,2022,N6 iMT Dual Tone BSVI,900000,2022,Third Party,5,998
Kolkata,Diesel,MUV,31000,Manual,1,Maruti,Maruti Ertiga,2017,SHVS ZDI Plus,800000,2017,Third Party,7,1248
Kolkata,Petrol,Sedan,44890,Manual,1,Honda,Honda Amaze,2016,S i-Vtech,357000,2016,Comprehensive,5,1198
Kolkata,Diesel,SUV,48752,Manual,2,Hyundai,Hyundai Creta,2017,1.4 E Plus CRDi,620000,2017,Comprehensive,5,1396
